Title    : 2023_Average_Jan_hr_10_1
Version  : Emfac-HK V4.3 V4.3.0.0 Sp: V4.3 Pr: Emfac-HK HK4.3
Run Date : 2021/12/29 11:33:08
Scen Year: 2023 -- All model years in the range 1979 to 2023 selected
Season   : Annual
Area     : Hong Kong
*****************************************************************************************
Year:,2023,, -- Model Years,,1979, to ,2023, Inclusive --,,,Annual
     Emfac-HK V4.3 Emission Factors: V4.3.0.0 Sp: V4.3 Pr: Emfac-HK HK4.3

SAR Average,,,,,      Hong Kong,,,,,,SAR Average

,,,,Table  1:  Running Exhaust Emissions (grams/km)

Pollutant Name: Volatile Org Cpds,,,,Temperature: 19C,,Relative Humidity: 68%

Speed,PC,PC,PC,PC,PC,TAXI,TAXI,TAXI,TAXI,TAXI,LGV3,LGV3,LGV3,LGV3,LGV3,LGV4,LGV4,LGV4,LGV4,LGV4,LGV6,LGV6,LGV6,LGV6,LGV6,HGV7,HGV7,HGV7,HGV7,HGV7,HGV8,HGV8,HGV8,HGV8,HGV8,PLB,PLB,PLB,PLB,PLB,PV4,PV4,PV4,PV4,PV4,PV5,PV5,PV5,PV5,PV5,NFB6,NFB6,NFB6,NFB6,NFB6,NFB7,NFB7,NFB7,NFB7,NFB7,NFB8,NFB8,NFB8,NFB8,NFB8,FBSD,FBSD,FBSD,FBSD,FBSD,FBDD,FBDD,FBDD,FBDD,FBDD,MC,MC,MC,MC,MC,HGV9,HGV9,HGV9,HGV9,HGV9,NFB9,NFB9,NFB9,NFB9,NFB9,ALL,ALL,ALL,ALL,ALL,
km/hr,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,

   15,   3.3727,   0.0180,   0.0887,   0.0000,   0.0201,   0.0000,   0.0139,   0.0000,   0.0400,   0.0400,   3.3687,   1.1514,   0.0447,   0.0000,   0.1072,   3.3687,   0.2914,   0.0417,   0.0000,   0.0489,   0.0000,   0.0000,   0.0524,   0.0000,   0.0524,   0.0000,   0.0000,   0.3574,   0.0000,   0.3574,   0.0000,   0.0000,   0.1031,   0.0000,   0.1031,   0.0000,   0.0000,   0.2611,   1.1985,   0.7909,   0.0000,   0.2982,   0.0626,   0.0000,   0.1254,   0.0000,   0.9746,   0.2153,   1.1811,   0.4102,   0.0000,   0.0000,   0.7182,   0.0000,   0.7182,   0.0000,   0.0000,   1.3133,   0.0000,   1.3133,   0.0000,   0.0000,   0.0741,   0.0000,   0.0741,   0.0000,   0.0000,   0.1391,   0.0000,   0.1391,   0.0000,   0.0000,   0.1619,   0.0000,   0.1619,   1.9582,   0.4533,   0.0000,   0.0000,   1.3781,   0.0000,   0.0000,   0.1164,   0.0000,   0.1164,   0.0000,   0.0000,   0.0714,   0.0000,   0.0714,   1.9689,   0.0296,   0.1468,   0.1283,   0.1193,
   16,   3.2411,   0.0171,   0.0860,   0.0000,   0.0191,   0.0000,   0.0133,   0.0000,   0.0378,   0.0377,   3.2373,   1.1029,   0.0434,   0.0000,   0.1033,   3.2373,   0.2768,   0.0405,   0.0000,   0.0474,   0.0000,   0.0000,   0.0485,   0.0000,   0.0485,   0.0000,   0.0000,   0.3292,   0.0000,   0.3292,   0.0000,   0.0000,   0.0974,   0.0000,   0.0974,   0.0000,   0.0000,   0.2403,   1.1556,   0.7576,   0.0000,   0.2832,   0.0608,   0.0000,   0.1201,   0.0000,   0.9490,   0.1981,   1.1337,   0.3870,   0.0000,   0.0000,   0.6611,   0.0000,   0.6611,   0.0000,   0.0000,   1.2089,   0.0000,   1.2089,   0.0000,   0.0000,   0.0711,   0.0000,   0.0711,   0.0000,   0.0000,   0.1322,   0.0000,   0.1322,   0.0000,   0.0000,   0.1540,   0.0000,   0.1540,   1.8700,   0.4306,   0.0000,   0.0000,   1.3151,   0.0000,   0.0000,   0.1099,   0.0000,   0.1099,   0.0000,   0.0000,   0.0683,   0.0000,   0.0683,   1.8804,   0.0281,   0.1371,   0.1229,   0.1129,
   17,   3.1169,   0.0163,   0.0834,   0.0000,   0.0183,   0.0000,   0.0127,   0.0000,   0.0358,   0.0358,   3.1132,   1.0572,   0.0422,   0.0000,   0.0997,   3.1132,   0.2632,   0.0393,   0.0000,   0.0459,   0.0000,   0.0000,   0.0451,   0.0000,   0.0451,   0.0000,   0.0000,   0.3025,   0.0000,   0.3025,   0.0000,   0.0000,   0.0923,   0.0000,   0.0923,   0.0000,   0.0000,   0.2207,   1.1166,   0.7270,   0.0000,   0.2693,   0.0591,   0.0000,   0.1151,   0.0000,   0.9255,   0.1820,   1.0908,   0.3654,   0.0000,   0.0000,   0.6071,   0.0000,   0.6071,   0.0000,   0.0000,   1.1102,   0.0000,   1.1102,   0.0000,   0.0000,   0.0684,   0.0000,   0.0684,   0.0000,   0.0000,   0.1261,   0.0000,   0.1261,   0.0000,   0.0000,   0.1469,   0.0000,   0.1469,   1.7872,   0.4093,   0.0000,   0.0000,   1.2561,   0.0000,   0.0000,   0.1041,   0.0000,   0.1041,   0.0000,   0.0000,   0.0656,   0.0000,   0.0656,   1.7973,   0.0268,   0.1280,   0.1181,   0.1071,
   18,   2.9995,   0.0156,   0.0809,   0.0000,   0.0174,   0.0000,   0.0121,   0.0000,   0.0341,   0.0341,   2.9959,   1.0140,   0.0410,   0.0000,   0.0962,   2.9959,   0.2505,   0.0383,   0.0000,   0.0444,   0.0000,   0.0000,   0.0421,   0.0000,   0.0421,   0.0000,   0.0000,   0.2774,   0.0000,   0.2774,   0.0000,   0.0000,   0.0877,   0.0000,   0.0877,   0.0000,   0.0000,   0.2022,   1.0810,   0.6988,   0.0000,   0.2562,   0.0575,   0.0000,   0.1104,   0.0000,   0.9040,   0.1667,   1.0518,   0.3454,   0.0000,   0.0000,   0.5563,   0.0000,   0.5563,   0.0000,   0.0000,   1.0173,   0.0000,   1.0173,   0.0000,   0.0000,   0.0659,   0.0000,   0.0659,   0.0000,   0.0000,   0.1206,   0.0000,   0.1206,   0.0000,   0.0000,   0.1405,   0.0000,   0.1405,   1.7095,   0.3895,   0.0000,   0.0000,   1.2006,   0.0000,   0.0000,   0.0990,   0.0000,   0.0990,   0.0000,   0.0000,   0.0631,   0.0000,   0.0631,   1.7192,   0.0255,   0.1196,   0.1138,   0.1016,
   19,   2.8886,   0.0148,   0.0786,   0.0000,   0.0167,   0.0000,   0.0116,   0.0000,   0.0326,   0.0326,   2.8852,   0.9733,   0.0399,   0.0000,   0.0929,   2.8852,   0.2386,   0.0372,   0.0000,   0.0431,   0.0000,   0.0000,   0.0395,   0.0000,   0.0395,   0.0000,   0.0000,   0.2538,   0.0000,   0.2538,   0.0000,   0.0000,   0.0837,   0.0000,   0.0837,   0.0000,   0.0000,   0.1849,   1.0483,   0.6728,   0.0000,   0.2440,   0.0559,   0.0000,   0.1060,   0.0000,   0.8840,   0.1525,   1.0162,   0.3268,   0.0000,   0.0000,   0.5087,   0.0000,   0.5087,   0.0000,   0.0000,   0.9302,   0.0000,   0.9302,   0.0000,   0.0000,   0.0637,   0.0000,   0.0637,   0.0000,   0.0000,   0.1155,   0.0000,   0.1155,   0.0000,   0.0000,   0.1347,   0.0000,   0.1347,   1.6364,   0.3709,   0.0000,   0.0000,   1.1486,   0.0000,   0.0000,   0.0945,   0.0000,   0.0945,   0.0000,   0.0000,   0.0609,   0.0000,   0.0609,   1.6459,   0.0243,   0.1118,   0.1099,   0.0966,
   20,   2.7837,   0.0142,   0.0763,   0.0000,   0.0159,   0.0000,   0.0111,   0.0000,   0.0313,   0.0313,   2.7804,   0.9348,   0.0388,   0.0000,   0.0897,   2.7804,   0.2274,   0.0362,   0.0000,   0.0418,   0.0000,   0.0000,   0.0371,   0.0000,   0.0371,   0.0000,   0.0000,   0.2319,   0.0000,   0.2319,   0.0000,   0.0000,   0.0801,   0.0000,   0.0801,   0.0000,   0.0000,   0.1687,   1.0182,   0.6488,   0.0000,   0.2325,   0.0544,   0.0000,   0.1018,   0.0000,   0.8656,   0.1391,   0.9834,   0.3096,   0.0000,   0.0000,   0.4642,   0.0000,   0.4642,   0.0000,   0.0000,   0.8489,   0.0000,   0.8489,   0.0000,   0.0000,   0.0617,   0.0000,   0.0617,   0.0000,   0.0000,   0.1110,   0.0000,   0.1110,   0.0000,   0.0000,   0.1295,   0.0000,   0.1295,   1.5677,   0.3535,   0.0000,   0.0000,   1.0997,   0.0000,   0.0000,   0.0903,   0.0000,   0.0903,   0.0000,   0.0000,   0.0589,   0.0000,   0.0589,   1.5769,   0.0232,   0.1046,   0.1063,   0.0919,
   21,   2.6845,   0.0135,   0.0742,   0.0000,   0.0153,   0.0000,   0.0106,   0.0000,   0.0300,   0.0300,   2.6813,   0.8985,   0.0378,   0.0000,   0.0868,   2.6813,   0.2169,   0.0352,   0.0000,   0.0405,   0.0000,   0.0000,   0.0350,   0.0000,   0.0350,   0.0000,   0.0000,   0.2114,   0.0000,   0.2114,   0.0000,   0.0000,   0.0768,   0.0000,   0.0768,   0.0000,   0.0000,   0.1537,   0.9903,   0.6265,   0.0000,   0.2218,   0.0529,   0.0000,   0.0979,   0.0000,   0.8484,   0.1268,   0.9532,   0.2937,   0.0000,   0.0000,   0.4229,   0.0000,   0.4229,   0.0000,   0.0000,   0.7734,   0.0000,   0.7734,   0.0000,   0.0000,   0.0599,   0.0000,   0.0599,   0.0000,   0.0000,   0.1068,   0.0000,   0.1068,   0.0000,   0.0000,   0.1247,   0.0000,   0.1247,   1.5031,   0.3371,   0.0000,   0.0000,   1.0537,   0.0000,   0.0000,   0.0866,   0.0000,   0.0866,   0.0000,   0.0000,   0.0571,   0.0000,   0.0571,   1.5121,   0.0221,   0.0979,   0.1031,   0.0875,
   22,   2.5907,   0.0130,   0.0722,   0.0000,   0.0146,   0.0000,   0.0101,   0.0000,   0.0289,   0.0289,   2.5876,   0.8641,   0.0368,   0.0000,   0.0839,   2.5876,   0.2071,   0.0343,   0.0000,   0.0393,   0.0000,   0.0000,   0.0331,   0.0000,   0.0331,   0.0000,   0.0000,   0.1926,   0.0000,   0.1926,   0.0000,   0.0000,   0.0738,   0.0000,   0.0738,   0.0000,   0.0000,   0.1399,   0.9643,   0.6058,   0.0000,   0.2117,   0.0515,   0.0000,   0.0942,   0.0000,   0.8323,   0.1153,   0.9253,   0.2789,   0.0000,   0.0000,   0.3848,   0.0000,   0.3848,   0.0000,   0.0000,   0.7037,   0.0000,   0.7037,   0.0000,   0.0000,   0.0582,   0.0000,   0.0582,   0.0000,   0.0000,   0.1030,   0.0000,   0.1030,   0.0000,   0.0000,   0.1203,   0.0000,   0.1203,   1.4424,   0.3218,   0.0000,   0.0000,   1.0104,   0.0000,   0.0000,   0.0833,   0.0000,   0.0833,   0.0000,   0.0000,   0.0554,   0.0000,   0.0554,   1.4510,   0.0212,   0.0918,   0.1000,   0.0835,
