Title    : 2023_Average_Jan_hr_10_3
Version  : Emfac-HK V4.3 V4.3.0.0 Sp: V4.3 Pr: Emfac-HK HK4.3
Run Date : 2021/12/29 11:34:02
Scen Year: 2023 -- All model years in the range 1979 to 2023 selected
Season   : Annual
Area     : Hong Kong
*****************************************************************************************
Year:,2023,, -- Model Years,,1979, to ,2023, Inclusive --,,,Annual
     Emfac-HK V4.3 Emission Factors: V4.3.0.0 Sp: V4.3 Pr: Emfac-HK HK4.3

SAR Average,,,,,      Hong Kong,,,,,,SAR Average

,,,,Table  1:  Running Exhaust Emissions (grams/km)

Pollutant Name: Volatile Org Cpds,,,,Temperature: 19C,,Relative Humidity: 68%

Speed,PC,PC,PC,PC,PC,TAXI,TAXI,TAXI,TAXI,TAXI,LGV3,LGV3,LGV3,LGV3,LGV3,LGV4,LGV4,LGV4,LGV4,LGV4,LGV6,LGV6,LGV6,LGV6,LGV6,HGV7,HGV7,HGV7,HGV7,HGV7,HGV8,HGV8,HGV8,HGV8,HGV8,PLB,PLB,PLB,PLB,PLB,PV4,PV4,PV4,PV4,PV4,PV5,PV5,PV5,PV5,PV5,NFB6,NFB6,NFB6,NFB6,NFB6,NFB7,NFB7,NFB7,NFB7,NFB7,NFB8,NFB8,NFB8,NFB8,NFB8,FBSD,FBSD,FBSD,FBSD,FBSD,FBDD,FBDD,FBDD,FBDD,FBDD,MC,MC,MC,MC,MC,HGV9,HGV9,HGV9,HGV9,HGV9,NFB9,NFB9,NFB9,NFB9,NFB9,ALL,ALL,ALL,ALL,ALL,
km/hr,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,NCAT,CAT,DSL,LPG,ALL,

   63,   1.1017,   0.0071,   0.0319,   0.0000,   0.0078,   0.0000,   0.0061,   0.0000,   0.0125,   0.0125,   1.1004,   0.3025,   0.0164,   0.0000,   0.0341,   1.1004,   0.0629,   0.0153,   0.0000,   0.0167,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0550,   0.0000,   0.0550,   0.0000,   0.0000,   0.0340,   0.0000,   0.0340,   0.0000,   0.0000,   0.0400,   0.5236,   0.3133,   0.0000,   0.0642,   0.0229,   0.0000,   0.0339,   0.0000,   0.5409,   0.0330,   0.4667,   0.1208,   0.0000,   0.0000,   0.1101,   0.0000,   0.1101,   0.0000,   0.0000,   0.2014,   0.0000,   0.2014,   0.0000,   0.0000,   0.0319,   0.0000,   0.0319,   0.0000,   0.0000,   0.0453,   0.0000,   0.0453,   0.0000,   0.0000,   0.0559,   0.0000,   0.0559,   0.5213,   0.0976,   0.0000,   0.0000,   0.3580,   0.0000,   0.0000,   0.0382,   0.0000,   0.0382,   0.0000,   0.0000,   0.0298,   0.0000,   0.0298,   0.5257,   0.0095,   0.0340,   0.0511,   0.0345,
   64,   1.0950,   0.0071,   0.0315,   0.0000,   0.0078,   0.0000,   0.0061,   0.0000,   0.0124,   0.0124,   1.0937,   0.2987,   0.0162,   0.0000,   0.0337,   1.0937,   0.0622,   0.0151,   0.0000,   0.0165,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0541,   0.0000,   0.0541,   0.0000,   0.0000,   0.0337,   0.0000,   0.0337,   0.0000,   0.0000,   0.0394,   0.5188,   0.3103,   0.0000,   0.0634,   0.0226,   0.0000,   0.0335,   0.0000,   0.5374,   0.0325,   0.4618,   0.1194,   0.0000,   0.0000,   0.1084,   0.0000,   0.1084,   0.0000,   0.0000,   0.1982,   0.0000,   0.1982,   0.0000,   0.0000,   0.0316,   0.0000,   0.0316,   0.0000,   0.0000,   0.0447,   0.0000,   0.0447,   0.0000,   0.0000,   0.0558,   0.0000,   0.0558,   0.5168,   0.0964,   0.0000,   0.0000,   0.3548,   0.0000,   0.0000,   0.0379,   0.0000,   0.0379,   0.0000,   0.0000,   0.0296,   0.0000,   0.0296,   0.5212,   0.0095,   0.0337,   0.0506,   0.0342,
   65,   1.0890,   0.0072,   0.0312,   0.0000,   0.0078,   0.0000,   0.0061,   0.0000,   0.0122,   0.0122,   1.0878,   0.2951,   0.0160,   0.0000,   0.0334,   1.0878,   0.0615,   0.0149,   0.0000,   0.0163,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0388,   0.5141,   0.3074,   0.0000,   0.0627,   0.0224,   0.0000,   0.0331,   0.0000,   0.5341,   0.0320,   0.4571,   0.1180,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.5128,   0.0954,   0.0000,   0.0000,   0.3519,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.5172,   0.0095,   0.0333,   0.0501,   0.0339,
   66,   1.0839,   0.0072,   0.0308,   0.0000,   0.0079,   0.0000,   0.0061,   0.0000,   0.0121,   0.0121,   1.0826,   0.2918,   0.0158,   0.0000,   0.0330,   1.0826,   0.0609,   0.0147,   0.0000,   0.0161,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0382,   0.5158,   0.3081,   0.0000,   0.0621,   0.0221,   0.0000,   0.0328,   0.0000,   0.5307,   0.0315,   0.4525,   0.1167,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.5092,   0.0944,   0.0000,   0.0000,   0.3493,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.5135,   0.0095,   0.0332,   0.0501,   0.0338,
   67,   1.0796,   0.0072,   0.0304,   0.0000,   0.0079,   0.0000,   0.0062,   0.0000,   0.0120,   0.0119,   1.0783,   0.2887,   0.0156,   0.0000,   0.0327,   1.0783,   0.0603,   0.0145,   0.0000,   0.0159,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0376,   0.5185,   0.3094,   0.0000,   0.0615,   0.0218,   0.0000,   0.0324,   0.0000,   0.5275,   0.0310,   0.4480,   0.1154,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.5060,   0.0935,   0.0000,   0.0000,   0.3470,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.5103,   0.0095,   0.0331,   0.0501,   0.0337,
   68,   1.0760,   0.0072,   0.0301,   0.0000,   0.0079,   0.0000,   0.0062,   0.0000,   0.0118,   0.0118,   1.0747,   0.2858,   0.0154,   0.0000,   0.0324,   1.0747,   0.0598,   0.0144,   0.0000,   0.0157,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0371,   0.5222,   0.3113,   0.0000,   0.0610,   0.0216,   0.0000,   0.0321,   0.0000,   0.5243,   0.0306,   0.4436,   0.1142,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.5032,   0.0928,   0.0000,   0.0000,   0.3450,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.5075,   0.0095,   0.0331,   0.0502,   0.0337,
   69,   1.0732,   0.0073,   0.0298,   0.0000,   0.0079,   0.0000,   0.0062,   0.0000,   0.0117,   0.0117,   1.0719,   0.2831,   0.0153,   0.0000,   0.0322,   1.0719,   0.0594,   0.0142,   0.0000,   0.0156,   0.0000,   0.0000,   0.0118,   0.0000,   0.0118,   0.0000,   0.0000,   0.0533,   0.0000,   0.0533,   0.0000,   0.0000,   0.0334,   0.0000,   0.0334,   0.0000,   0.0000,   0.0365,   0.5269,   0.3136,   0.0000,   0.0605,   0.0214,   0.0000,   0.0318,   0.0000,   0.5212,   0.0301,   0.4393,   0.1129,   0.0000,   0.0000,   0.1067,   0.0000,   0.1067,   0.0000,   0.0000,   0.1952,   0.0000,   0.1952,   0.0000,   0.0000,   0.0313,   0.0000,   0.0313,   0.0000,   0.0000,   0.0442,   0.0000,   0.0442,   0.0000,   0.0000,   0.0557,   0.0000,   0.0557,   0.5008,   0.0920,   0.0000,   0.0000,   0.3432,   0.0000,   0.0000,   0.0375,   0.0000,   0.0375,   0.0000,   0.0000,   0.0293,   0.0000,   0.0293,   0.5051,   0.0095,   0.0330,   0.0504,   0.0337,
